KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
Antigen_processing_and_presentation	-27.936864405302952	-0.03265231610194864	0.027972027972027972
Arachidonic_acid_metabolism	0.11548605716145965	0.6865382909078833	0.35664335664335667
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.5895741072024355	0.8677443622979216	0.5734265734265735
Biosynthesis_of_unsaturated_fatty_acids	-18.055511985239683	-0.19496637172898815	-0.20979020979020982
Carbohydrate_digestion_and_absorption	0.02633954434666752	0.6103176009458177	0.35664335664335667
Carbohydrate_metabolism	-1.8385061541883676	0.07197547777057874	-0.006993006993006993
Chromosome	-117.5706041832975	0.012082087116385436	0.1328671328671329
Cysteine_and_methionine_metabolism	-75.94747747724955	-0.22840436004396628	-0.18181818181818185
Cytoskeleton_proteins	-8.202140053982994	0.1744291371715311	0.1398601398601399
D_Arginine_and_D_ornithine_metabolism	0.019468534218081146	0.4936335996835963	0.22377622377622378
Flavonoid_biosynthesis	-0.1385748689441606	0.46595463861909314	0.18881118881118883
Fructose_and_mannose_metabolism	-13.079412284361458	0.07173501363220235	-0.16083916083916086
Glycosyltransferases	-15.520568723736385	-0.40089979084300753	-0.18881118881118883
Insulin_signaling_pathway	-7.047207712340786	0.1002259137802493	0.06993006993006995
Lipid_metabolism	-3.512703780377084	0.2129735591260814	0.15384615384615385
Other_ion_coupled_transporters	-56.76866203017038	-0.029594917377963246	-0.16083916083916086
Pathways_in_cancer	-9.56141610386368	-0.054107875996381734	-0.1328671328671329
Peptidoglycan_biosynthesis	-60.797853852244906	-0.06254592448991207	0.055944055944055944
Plant_pathogen_interaction	-9.620505365145615	0.14192366490215508	0.06993006993006995
Progesterone_mediated_oocyte_maturation	-29.01115755908311	0.02073678530438915	0.027972027972027972
Prostate_cancer	-30.08178011599362	-0.0371402378628083	-0.04895104895104895
Retinol_metabolism	-0.8575602316803617	0.23470393852524837	0.30069930069930073
Selenocompound_metabolism	-16.497546206469135	0.5699356087073225	0.5314685314685316
Signal_transduction_mechanisms	-8.258338595409212	0.13968829394048973	0.04195804195804196
Starch_and_sucrose_metabolism	-2.7313208737532686	0.4865387694169235	0.3916083916083916
Styrene_degradation	0.7350826802334736	0.9121509878473055	0.5034965034965035
Sulfur_metabolism	-13.531529267682222	-0.087648278033143	-0.055944055944055944
Transcription_factors	-4.467101795456702	0.5367402700418394	0.4895104895104896
Transporters	-3.3185397576016946	0.32841405526267436	0.17482517482517487
Vibrio_cholerae_pathogenic_cycle	-6.150798515374888	-0.08384463809860178	-0.1328671328671329
Zeatin_biosynthesis	-11.837205206876963	0.07204361374205542	0.15384615384615385
