Taxa	Antigen_processing_and_presentation	Arachidonic_acid_metabolism	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Chromosome	Cysteine_and_methionine_metabolism	Cytoskeleton_proteins	D_Arginine_and_D_ornithine_metabolism	Flavonoid_biosynthesis	Fructose_and_mannose_metabolism	Glycosyltransferases	Insulin_signaling_pathway	Lipid_metabolism	Other_ion_coupled_transporters	Pathways_in_cancer	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Progesterone_mediated_oocyte_maturation	Prostate_cancer	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Starch_and_sucrose_metabolism	Styrene_degradation	Sulfur_metabolism	Transcription_factors	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU100_Prevotellaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU101_Succiniclasticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0655352713801644	0.06963273618577649	0.0	0.0	0.040856220691967704	0.0	0.0	0.0	0.0	0.0	0.08368132469412815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU102_Prevotella	0.05385164807134505	0.03137858162210944	0.0	0.05010245912384352	0.0	0.0	0.03802832952094854	0.06405126152203484	0.0	0.0	0.0	0.06281841964069015	0.034899122022605644	0.05203549084703927	0.0	0.038028329520948534	0.058703950856427434	0.015932550136313835	0.0	0.0	0.03137858162210945	0.015932550136313835	0.038028329520948534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058703950856427434
OTU103_Prevotellaceae_unclassified	0.0408562206919677	0.05556239274166914	0.0	0.0705109556862965	0.0	0.03489912202260564	0.03489912202260564	0.048038446141526144	0.0	0.0	0.0	0.03802832952094854	0.05385164807134504	0.04803844614152614	0.0	0.04803844614152615	0.038028329520948534	0.05870395085642743	0.0	0.0	0.048038446141526144	0.0408562206919677	0.07161148740394328	0.0408562206919677	0.0	0.0	0.0	0.11115939122004158	0.0	0.03802832952094854	0.05385164807134504
OTU104_Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015932550136313835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10741723110591495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU105_Prevotella	0.03489912202260565	0.0	0.0	0.05870395085642743	0.0	0.03802832952094854	0.04582575694955839	0.0784464540552736	0.0	0.0	0.0	0.09473309334313418	0.057177187489686566	0.09740215340114143	0.0	0.034899122022605644	0.04582575694955839	0.0458257569495584	0.0	0.03137858162210945	0.02731581677625339	0.0408562206919677	0.09336995618478526	0.03137858162210945	0.03489912202260564	0.0	0.0	0.04344167914778948	0.05010245912384351	0.03489912202260564	0.03802832952094854
OTU106_Bacteroidetes_unclassified	0.03802832952094854	0.11551445685969242	0.0	0.05385164807134504	0.03137858162210945	0.03802832952094854	0.048038446141526144	0.0408562206919677	0.038028329520948534	0.0	0.0	0.05385164807134504	0.04344167914778948	0.06	0.0	0.066332495807108	0.05203549084703927	0.04085622069196768	0.03137858162210944	0.03489912202260565	0.057177187489686566	0.03802832952094854	0.11559212110493719	0.04582575694955839	0.02731581677625338	0.0	0.0	0.11208970766356098	0.038028329520948534	0.055562392741669145	0.0408562206919677
OTU107_Prevotellaceae_unclassified	0.02731581677625339	0.0	0.0	0.0	0.0	0.0	0.0	0.038028329520948534	0.0	0.0	0.0	0.04085622069196769	0.03137858162210944	0.05957111673217104	0.0	0.0	0.0224179415327122	0.0	0.0	0.0	0.02731581677625339	0.0	0.06786109493021908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU108_Saccharofermentans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU109_Bacteroidetes_unclassified	0.02731581677625339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02731581677625339	0.0408562206919677	0.0501024591238435	0.0	0.0	0.038028329520948534	0.022417941532712204	0.0	0.0	0.04085622069196769	0.0	0.05509897853769557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
