KO	MRC2-1	MRC2-2	MRC2-3	MRC2-4	MRC2-5	MRC2-6	MRO1-1	MRO1-2	MRO1-3	MRO1-4	MRO1-5	MRO1-6
Antigen_processing_and_presentation	0.0005933224268921393	0.0005337292071162302	0.0005548094254574055	0.0001293343364702047	0.00042961457296182424	0.0005131069530660222	0.0002426521752564289	0.0007197253313546964	0.00038227180948178146	0.0004436109787904471	0.00043104913597322684	0.00040306609159515366
Arachidonic_acid_metabolism	0.0010981557341488077	0.0009354996717646426	0.0008208492630078642	0.0002700849701898239	0.0005450153042487877	0.0004385077767156929	9.448111300980366e-05	0.00027768948173073307	0.00014091124015761511	0.00016691251184041593	0.00015432828547183182	0.00016415032054944482
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.00047826222926903076	0.00035384063919347063	0.0003919818507549914	0.00011930845037566922	0.0002475806170142779	0.00021413290063036476	5.166506941817145e-05	0.00013792071620683378	6.985900311267274e-05	0.0001097888022968634	9.620418418886495e-05	8.114576578151534e-05
Biosynthesis_of_unsaturated_fatty_acids	0.0014597112249687622	0.0006376045692817236	0.001186245714911227	0.00022931232956747825	0.0010106954723695357	0.00115682717493675	0.0004917265892564566	0.0012538408286285592	0.0006479981353720399	0.0011433818661342196	0.001000498369480591	0.000712856490270655
Carbohydrate_digestion_and_absorption	0.0005266288242915403	0.0005622382886715698	0.0004915284663279924	2.9743573457747085e-05	0.00038055244999838235	0.00045488347532223914	4.442684501833239e-05	0.00016410947665010064	8.608491428310498e-05	4.3713975388738236e-05	5.643786671928268e-05	9.212553998072526e-05
Carbohydrate_metabolism	0.0015527899332499603	0.000679475204255715	0.002329095778030638	0.00025433815601947593	0.0013473007331507541	0.0018610441565508622	0.00046562662640673775	0.0013786103641403474	0.0006900376908646987	0.0008283094031868609	0.0007683549891110088	0.0007845931314277889
Chromosome	0.022234484232728665	0.009711830275409393	0.017717663844046924	0.004435482399998831	0.015311877242905808	0.01741335340542258	0.008801745098774027	0.024472049026518065	0.012785492866605684	0.017936848050644213	0.01649057601244827	0.013825753551522582
Cysteine_and_methionine_metabolism	0.011474039514088364	0.01060664620957558	0.01129133908340305	0.0025438736766079306	0.008449503602129198	0.01025481825040429	0.0050307800762302655	0.013934187534797367	0.007149740141576687	0.010203464834937472	0.009244735305215877	0.007915103563312376
Cytoskeleton_proteins	0.0041281116216194584	0.003813554668772387	0.003060075218187752	0.00081048047545595	0.0033750747820354278	0.004225838221813527	0.0016052946359441222	0.0044179766882594795	0.0022336179339045425	0.00325065343186594	0.0029051453787311754	0.0025288086417551777
D_Arginine_and_D_ornithine_metabolism	1.384571093026122e-05	0.00010040747726962705	2.1044308807570312e-05	1.1130871017150302e-06	1.2064365633512408e-05	1.6752088583187092e-05	1.4193993564057117e-06	5.563353771829824e-06	2.1323792631203252e-06	2.448474879899703e-07	1.646676561672079e-07	3.419894743270602e-06
Flavonoid_biosynthesis	3.142989916150307e-05	5.3199435430050133e-05	1.877271132464279e-05	4.218736366679565e-05	1.5226303703410014e-05	1.1429033152142132e-05	1.3155621441192434e-06	5.022158793802184e-06	1.9880996066090575e-06	2.3235910961547849e-07	1.4717335549118446e-07	3.261259543704257e-06
Fructose_and_mannose_metabolism	0.012149163171611159	0.00955764382345925	0.008891612890020889	0.002065852778150618	0.008161486391768634	0.00904819128020283	0.004058385415871524	0.011292706446964902	0.00575619189664586	0.008121703059438745	0.0073421471046311556	0.006445976170932955
Glycosyltransferases	0.00509114809135376	0.002224288681569714	0.004559020639999598	0.0009182082205462157	0.0036337994469517864	0.0042838504250134165	0.001786417870076989	0.005082617387537252	0.002678325808320886	0.0035271076330115197	0.0033087071368842888	0.002858379646954795
Insulin_signaling_pathway	0.0010850295631953306	0.001009416104069055	0.0008622019436016757	0.00018302207615110799	0.0007460658046701326	0.0008483061521954546	0.0003640187602028921	0.000984236056145352	0.0004809057132968194	0.0007455591391910505	0.0006449480681496903	0.0005704028894607271
Lipid_metabolism	0.0018580228974097181	0.0008115245166812606	0.0015096983023428904	0.00024026768968884543	0.0012862596258916214	0.001472349926723803	0.00047157096869737127	0.0013261586754613043	0.0006967505992222164	0.0009527615133403987	0.0008853554431193719	0.000747901346309345
Other_ion_coupled_transporters	0.012150325301765406	0.011985745826970384	0.012796409401271755	0.0028644300059194215	0.009163670880377964	0.011355162328841494	0.005686605514835353	0.015784128274417105	0.00823135463464654	0.011624781918986726	0.010664001673936645	0.008906806174313685
Pathways_in_cancer	0.0007413728447231094	0.0006737255704952953	0.000637464107916676	0.00013685377625397767	0.0005225618945478887	0.0006081856912014464	0.0002568325570468729	0.0007724830203858953	0.00042533850773941365	0.0004716888089647783	0.0004757942114280471	0.00042665168611348005
Peptidoglycan_biosynthesis	0.010726876065790788	0.010154640030770963	0.009849673873483854	0.002314104411533793	0.0077197617488952396	0.009169729745868223	0.0045695377602716376	0.012767806053361561	0.0066724306010016434	0.009240855209614575	0.008521765134341374	0.007205360242645939
Plant_pathogen_interaction	0.002151387365253622	0.0009393993697479363	0.0014905702400125813	0.0003517995781031193	0.0014240029642791224	0.001552705338730582	0.0007023638438129597	0.001937597782416858	0.0010090678323496018	0.0014485615477099324	0.0013228349517286119	0.0010977629865393794
Progesterone_mediated_oocyte_maturation	0.0006753978702080892	0.0002949951844522878	0.0005370975842526155	0.00012929463392201518	0.00046486430019853156	0.0005283026351687268	0.00024267132979779654	0.0007196434818920446	0.00038224783920242365	0.0004436381551266647	0.0004310455665567863	0.0004034679250357028
Prostate_cancer	0.0005938322723725592	0.000533876406297993	0.0005369137062822982	0.0001299238241735492	0.0004252886902741924	0.0005026943829207371	0.000244645176216139	0.0007221134923271691	0.0003823419129270229	0.0004502551712052468	0.00043486782167608895	0.00040503502328647067
Retinol_metabolism	0.0004263293799920943	0.0001867340302048022	0.00040936524390906934	0.0001403083197427243	0.00021362228159471378	0.00018212614138811564	6.907655836337729e-05	0.00015926822503553516	6.314438150838249e-05	0.0001611973187329028	0.00011699621505398725	0.00010075204210559238
Selenocompound_metabolism	0.0048616645954036135	0.004035158059116046	0.004104840752269197	0.000836075283948717	0.0034068549671742	0.00394373424003104	0.001696615937000989	0.004681943259407697	0.0025517951584462456	0.0036183519875081557	0.003406189154650519	0.0026020188201240995
Signal_transduction_mechanisms	0.004267588046843483	0.003375713421593027	0.004334723851106815	0.0008600912659744543	0.003177044599549197	0.003893954831625247	0.0016669405075761482	0.004738889163957911	0.0024672101105281882	0.003266662010323941	0.003036758430403565	0.002674850202301622
Starch_and_sucrose_metabolism	0.013168826195474615	0.005760508002967463	0.01130740205259487	0.0024349481639831735	0.011658915399216969	0.015340873479265889	0.0046416245636249276	0.013423559553919998	0.0069755805136461286	0.00877505946954089	0.008241460518143224	0.00758843262019437
Styrene_degradation	0.00032003830572229197	0.0001394581745211288	2.3055118311910457e-07	8.677974035993873e-06	0.00015502936741451236	0.00010012513189887577	2.23414427680947e-05	4.340402528194e-05	1.7245660254971988e-05	6.346654541594581e-05	4.6084683869947075e-05	2.862510480130357e-05
Sulfur_metabolism	0.0030113699877326954	0.002549524825746252	0.0031650122182998895	0.0006291220380188624	0.0022680767302371203	0.0028104885204759088	0.0012299114002131358	0.003381329056807713	0.001647264055946075	0.002443816699499322	0.0021263369886953907	0.0019558775908306955
Transcription_factors	0.016400098980234118	0.007161226087494527	0.011731320565964981	0.0022635172191689946	0.010945288036857004	0.012054106627126868	0.004517063149795439	0.012315262755186395	0.006224262913369748	0.009340003068544427	0.008305190702734944	0.007058923166254722
Transporters	0.060877671232904905	0.026608057158752217	0.037185708079111354	0.009868417877540756	0.048918494745288976	0.05987894095534832	0.01944004289008505	0.05379624695866752	0.02717615949457306	0.03895697598658619	0.03490193534521693	0.030846421510216823
Vibrio_cholerae_pathogenic_cycle	0.0010799786179175237	0.00047189562369858546	0.001033651304614944	0.0001693971116943244	0.0007879740304689214	0.0009480431994910984	0.0003125257796576002	0.0009648580488738473	0.0005435623662864571	0.0005585210971037358	0.0005861756404186291	0.0005269791138506085
Zeatin_biosynthesis	0.0008664967672163699	0.0008564761428251974	0.0009026277924115833	0.0001637177650981144	0.0006508231983341555	0.0008039152994260129	0.00031485407366512136	0.000909406011909797	0.00048361739573749506	0.0006098655707791536	0.0005815910474724687	0.0005088887583579533
