KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ABC_transporters	-1.100742931157117	0.5850177258514353	0.045703077533152565	0.6643356643356644	0.018452718028445437	0.0023795965626447787	0.0023570611141011995
Arachidonic_acid_metabolism	0.9720396947460467	0.9871885552894445	2.6603891600773515e-09	0.8811188811188813	0.00015267406467669873	3.900212173682834e-05	3.091186554129217e-05
Bacterial_chemotaxis	-1.5649521205790218	0.34875955345857546	0.2665418563918722	0.44055944055944063	0.15173503571673022	0.0009472106843973401	0.0011331676529750575
Bacterial_motility_proteins	-1.828659148373026	0.37228426662835534	0.2333722580414818	0.39860139860139865	0.19933549461780897	0.001921416765349019	0.002216858692224248
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.9011225636860241	0.9644255052932522	4.226868389430685e-07	0.7762237762237763	0.0029928636801859797	2.9332750402786346e-05	2.830450401504173e-05
Biosynthesis_of_unsaturated_fatty_acids	0.3315896517664869	0.7899350347086133	0.0022366190670884936	0.6573426573426573	0.020185498509854096	0.00020452463174106366	0.000340479549468341
Bisphenol_degradation	0.4261040680955088	0.7705476417704653	0.0033572879374598645	0.6293706293706295	0.02831967129576002	4.1271757385661334e-05	4.4427642234671e-05
Carbohydrate_digestion_and_absorption	0.19115029322587296	0.6259782594630562	0.029445761872144136	0.5034965034965035	0.09515736659412469	7.828601798113908e-05	0.00011537465952924964
Carbohydrate_metabolism	0.9451496013141765	0.977311043516844	4.558574195260727e-08	0.8671328671328673	0.00025981184986148103	0.00010381023512121457	0.0001163194712225975
Cysteine_and_methionine_metabolism	-26.456715392476237	-0.018425725901166572	0.95467596031077	-0.1398601398601399	0.6646331617926677	0.002729318437269793	0.0027205430549694506
DNA_repair_and_recombination_proteins	-45.311847889633576	0.3821586705599253	0.22022118875756228	0.5524475524475525	0.06251148327961512	0.003929317988749536	0.0036371699191401837
Ethylbenzene_degradation	-2.2038935455574946	0.2587755407044506	0.4167108285600931	0.34965034965034975	0.2652387868927897	0.00016817651848962422	0.00019607890965493086
