KO	MCA3-1	MCA3-2	MCA3-3	MCA3-4	MCA3-5	MCA3-6	MRO1-1	MRO1-2	MRO1-3	MRO1-4	MRO1-5	MRO1-6
ABC_transporters	0.0219738446849739	0.02237194957867227	0.026451742954238307	0.02085533013055328	0.024102127947217552	0.02438896640509446	0.011299435911309974	0.02235498353746347	0.01590978420906204	0.019741515730558105	0.01905083470771924	0.01571254954327466
Arachidonic_acid_metabolism	0.0006736349788996321	0.000885415485463091	0.0005799893545507977	0.0008151765337764509	0.0008616374752634514	0.000796361693254591	0.0001297967505919948	0.00019168039790189086	0.0002047136533829651	0.00016727417516790088	0.00015941761547731887	0.0001756179366120577
Bacterial_chemotaxis	0.00384622244365936	0.004435503084157661	0.005618259904136527	1.6114012887173833e-06	0.00300387800968997	0.003341765167718704	0.0019179124482497287	0.003067529788321662	0.0019208871930009271	0.0032016174962530997	0.002898304802314047	0.002544956917810906
Bacterial_motility_proteins	0.0065217669355836375	0.008513896669283169	0.011063960835493554	3.1203908359986744e-06	0.005928878144997791	0.005611636711385443	0.004028877846513948	0.006182913705285594	0.004043416436844644	0.007565656262832318	0.006833534445203871	0.005063344129362645
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.0003971530236388813	0.00019483237558324442	0.0002920509516779475	0.00039487869277820203	0.00034331595658151416	0.0004520932239652707	6.181847737679868e-05	9.673546911063165e-05	9.261681851051919e-05	7.091070315530388e-05	6.316239106727449e-05	8.848125111459678e-05
Biosynthesis_of_unsaturated_fatty_acids	0.001342543689555755	0.002671987914319858	0.0016226719868198127	8.445514617392979e-07	0.0007188794317478425	0.0011716144661744936	0.0009466193384831646	0.0010255214399098758	0.0007136979271789302	0.0011061251954543377	0.001053590669313413	0.0008144387707944023
Bisphenol_degradation	0.0006908061030692744	0.0005866001696649873	0.0006720204808234512	0.0006777918640440152	0.0005762112809995022	0.0007783488286758069	0.0005683743603295537	0.0007072652203227573	0.0005237300144989839	0.0004932992215450099	0.0005193544630474416	0.0004871183931692962
Carbohydrate_digestion_and_absorption	0.00035706983583936534	0.00014411017865245367	0.00027588261716148264	9.339366174681524e-08	0.00034212349903841785	0.0003201969632214887	6.0273185756639654e-05	0.00011923679570293699	8.212465284592602e-05	4.153398002007146e-05	6.078503915334587e-05	9.947127292516445e-05
Carbohydrate_metabolism	0.002284062315698256	0.0013830975563022803	0.0018598425026768756	0.0024332512173247407	0.0015367079323915565	0.0026311419548553224	0.000576260025426951	0.0010224612394496811	0.0007417376932719404	0.000847083807968705	0.0006855564166217912	0.0008216851640018908
Cysteine_and_methionine_metabolism	0.007077015832199329	0.011580117990298474	0.009932861544014166	4.294433096145868e-06	0.007108090383236717	0.00615877182143248	0.005442118722205411	0.011759334600477702	0.00747997704682166	0.009686472657112182	0.009747038729108568	0.007765577966156555
