Taxa	ABC_transporters	Arachidonic_acid_metabolism	Bacterial_chemotaxis	Bacterial_motility_proteins	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Bisphenol_degradation	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Cysteine_and_methionine_metabolism	DNA_repair_and_recombination_proteins	Ethylbenzene_degradation	Flavone_and_flavonol_biosynthesis	Glutathione_metabolism	Glycosyltransferases	Glyoxylate_and_dicarboxylate_metabolism	Insulin_signaling_pathway	Lipid_metabolism	Meiosis___yeast	Nitrogen_metabolism	Other_ion_coupled_transporters	Others	Pathways_in_cancer	Pentose_and_glucuronate_interconversions	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Porphyrin_and_chlorophyll_metabolism	Renal_cell_carcinoma	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Sulfur_metabolism	Transcription_factors	Transcription_machinery	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU100_Prevotellaceae_unclassified	-0.04323460152737353	0.0	-0.03042434922296656	-0.030424349222966555	-0.024019223070763075	-0.01601281538050871	-0.04803844614152615	-0.006405126152203484	0.0	-0.05444357229372962	-0.056044853831780504	-0.017614096918559582	0.0	-0.008006407690254356	-0.052842290755678756	-0.09767817382110316	0.0	-0.08807048459279791	0.0	-0.017614096918559582	-0.03042434922296656	-0.06405126152203486	-0.09447561074500138	0.0	-0.051241009217627885	0.0	-0.05124100921762789	0.0	-0.014411533842457844	-0.009607689228305221	-0.03042434922296655	-0.024019223070763075	-0.03202563076101742	0.0	-0.0032025630761017432	-0.008006407690254356	-0.009607689228305226
OTU101_Succiniclasticum	-0.019215378456610456	0.0	-0.011208970766356097	-0.008006407690254357	-0.01921537845661046	-0.00960768922830523	-0.03042434922296656	-0.012810252304406968	0.0	-0.03522819383711917	-0.01921537845661046	-0.0112089707663561	0.0	-0.017614096918559582	0.025620504608813936	-0.030424349222966555	0.0	-0.02081665999466133	0.0	-2.7755575615628915e-18	-0.017614096918559585	-0.006405126152203488	-0.019215378456610463	0.0	-0.008006407690254356	-0.003202563076101742	-0.0112089707663561	0.0	-0.008006407690254356	-0.006405126152203484	-0.014411533842457835	0.0064051261522034865	-0.004803844614152614	-0.011208970766356097	-0.017614096918559585	-0.008006407690254362	-0.0064051261522034865
OTU102_Prevotella	-0.012810252304406973	0.0	-0.00960768922830523	-0.00960768922830523	0.012810252304406964	-0.011208970766356099	-0.025620504608813946	-0.008006407690254357	0.0	-0.011208970766356099	-0.003202563076101741	-0.017614096918559585	0.0	-0.009607689228305228	-0.02882306768491568	-0.020816659994661327	0.0	-0.006405126152203487	0.0	-0.02722178614686481	-0.028823067684915687	-0.006405126152203487	-0.020816659994661327	0.0	-0.04003203845127178	0.0	-0.022417941532712198	0.0	-0.0016012815380508716	-0.014411533842457842	-0.01601281538050871	-0.008006407690254357	-0.0032025630761017432	-0.006405126152203486	-0.0032025630761017432	-0.014411533842457844	-0.0032025630761017415
OTU103_Prevotellaceae_unclassified	0.022417941532712194	0.0	0.0112089707663561	0.01441153384245784	0.035228193837119164	0.011208970766356097	0.03202563076101743	0.02722178614686482	0.003202563076101742	0.027221786146864817	0.022417941532712198	0.0112089707663561	0.0	0.009607689228305228	0.03843075691322091	0.052842290755678756	0.0	0.03042434922296655	0.0	0.06565254306008572	0.07205766921228922	0.022417941532712194	0.020816659994661327	0.0032025630761017432	0.04003203845127178	0.0	0.025620504608813936	0.0	0.004803844614152615	0.006405126152203484	0.025620504608813936	0.02401922307076307	0.01921537845661046	0.01601281538050871	0.01921537845661046	0.012810252304406973	0.014411533842457842
OTU104_Prevotella	-0.0560448538317805	0.0	-0.024019223070763075	-0.0112089707663561	-0.0064051261522034865	-0.00960768922830523	-0.07526023228839096	-0.006405126152203486	0.0	-0.043234601527373524	-0.044835883065424395	-0.022417941532712198	0.0	-0.03042434922296656	-0.051241009217627885	-0.0560448538317805	0.0	-0.04003203845127178	0.0	-0.02081665999466133	-0.07045638767423833	-0.057646135369831375	-0.10728586304940839	0.0	-0.09287432920695055	-0.0112089707663561	-0.057646135369831375	0.0	-0.0032025630761017415	-0.020816659994661327	-0.009607689228305228	-0.019215378456610456	-0.0112089707663561	-0.04003203845127179	-0.024019223070763075	-0.011208970766356099	-0.025620504608813943
OTU105_Prevotella	0.05444357229372963	0.0	0.019215378456610456	0.012810252304406968	0.017614096918559582	0.009607689228305226	0.052842290755678756	0.022417941532712208	0.0	0.03522819383711917	0.03362691229906831	0.008006407690254357	0.0	0.022417941532712198	0.05444357229372963	0.046437164603475266	0.0	0.06084869844593311	0.0	0.09127304766889964	0.07686151382644182	0.02401922307076307	0.03843075691322091	0.0	0.05924741690788224	0.0	0.056044853831780504	0.0	0.008006407690254356	0.02722178614686481	0.03843075691322092	0.01601281538050871	0.008006407690254357	0.016012815380508715	0.019215378456610456	0.035228193837119164	0.025620504608813943
OTU106_Bacteroidetes_unclassified	0.041633319989322654	0.009607689228305228	0.012810252304406973	0.004803844614152614	0.02722178614686481	0.022417941532712198	0.03362691229906829	0.00960768922830523	0.01441153384245784	0.027221786146864817	0.0560448538317805	0.0016012815380508727	0.0	0.0336269122990683	0.036829475375170034	0.08006407690254357	0.0032025630761017432	0.05124100921762787	0.0	0.06244997998398397	0.06405126152203486	0.03042434922296655	0.07365895075034007	0.0032025630761017432	0.06565254306008574	0.0	0.046437164603475266	0.0	0.003202563076101743	0.03843075691322092	0.03843075691322092	0.044835883065424395	0.0112089707663561	0.019215378456610456	0.012810252304406968	0.025620504608813936	0.03042434922296655
OTU107_Prevotellaceae_unclassified	-0.024019223070763075	0.0	-0.0224179415327122	-0.01761409691855959	-0.019215378456610456	-0.01441153384245784	-0.01601281538050871	-0.004803844614152615	0.0	-0.038430756913220905	-0.017614096918559582	-0.028823067684915684	0.0	-0.01601281538050871	-0.04003203845127178	-0.030424349222966555	0.0	-0.0672538245981366	0.0	-0.046437164603475266	-0.046437164603475266	-0.03042434922296656	-0.036829475375170034	0.0	-0.03202563076101742	0.0	-0.06565254306008572	0.0	-0.006405126152203486	-0.02081665999466133	-0.019215378456610453	-0.016012815380508715	-0.014411533842457835	0.0	-0.0112089707663561	-0.02081665999466133	-0.0064051261522034865
OTU108_Saccharofermentans	-0.017614096918559582	-0.0064051261522034865	-0.01441153384245784	-0.008006407690254357	-0.0224179415327122	-0.02081665999466133	-0.036829475375170034	-0.012810252304406968	-0.004803844614152615	-0.03843075691322092	-0.05444357229372963	-0.019215378456610456	0.0	-0.04003203845127178	-0.012810252304406971	-0.04963972767957702	0.0	-0.02081665999466133	0.0	-0.046437164603475266	-0.04323460152737353	-0.012810252304406968	-0.04003203845127179	-0.017614096918559582	-0.05124100921762787	-0.017614096918559585	-0.04163331998932266	0.0	-0.008006407690254356	-0.04003203845127178	-0.014411533842457835	-0.017614096918559582	-0.012810252304406968	-0.04003203845127179	-0.04003203845127178	-0.02081665999466133	-0.022417941532712194
OTU109_Bacteroidetes_unclassified	-0.03682947537517005	-0.01761409691855959	0.00480384461415261	-0.011208970766356099	-0.012810252304406973	0.0	-0.02882306768491568	-0.01441153384245784	0.0	-0.03362691229906829	-0.01761409691855958	-0.011208970766356097	0.0	-0.017614096918559582	-0.027221786146864817	-0.0560448538317805	0.0	-0.025620504608813936	0.0	-0.03362691229906829	-0.043234601527373524	-0.03362691229906831	-0.05284229075567876	0.0	-0.04163331998932266	-0.006405126152203486	-0.04003203845127179	0.0	-0.008006407690254357	-0.03042434922296655	-0.028823067684915687	-0.01761409691855959	-0.012810252304406968	-0.024019223070763075	-0.02081665999466133	-0.012810252304406973	-0.025620504608813946
